Date,depth[m],CH4 [umol/L]
2016-05-11,0.5329186253516154,1.1
2016-05-11,4.08887918232629,1.41
2016-05-11,6.039301943983891,0.54
2016-05-11,7.108534582713446,0.07
2016-05-11,9.12373666703464,0.44
2016-05-11,12.110921252847184,0.19
2016-05-11,13.043413141771765,0.68
2016-05-11,14.105245199597059,20.23
2016-05-11,14.542411260376165,18.19
2016-07-19,0.5100496561021385,1.95
2016-07-19,4.190785626788396,2.77
2016-07-19,6.032930281806387,0.26
2016-07-19,7.602015909949482,0.01
2016-07-19,8.154404534559225,11.61
2016-07-19,8.533427398529392,37.23
2016-07-19,9.055792722386068,42.28
2016-07-19,10.1065404369238,61.27
2016-07-19,12.171362588105067,123.84
2016-07-19,13.983083325775299,444.63
2016-07-19,14.57294622353241,612.76
2016-10-04,0.46795612404006764,0.31
2016-10-04,1.974585876603404,0.28
2016-10-04,3.9685083060000856,0.34
2016-10-04,4.978428206474766,0.23
2016-10-04,5.975075345376827,0.26
2016-10-04,7.472846732867843,0.09
2016-10-04,7.977903047269948,24.33
2016-10-04,8.470940863831327,72.63
2016-10-04,8.964097988406232,87.38
2016-10-04,9.971995771010713,207.07
2016-10-04,10.967452888957395,237.02
2016-10-04,11.967379468641381,395.76
2016-10-04,12.96735703465593,594.88
2016-10-04,14.465217138362128,1404.09
2016-10-14,0.5478812877840266,0.63
2016-10-14,4.088678510048736,0.63
2016-10-14,7.126282118521306,0.68
2016-10-14,8.09072255204108,60.59
2016-10-14,10.106779847080277,166.57
2016-10-14,11.157567500910288,442.2
2016-10-14,12.12163029567501,440.03
2016-10-14,14.193834417749883,1014.24
2016-10-14,7.528604036015227,5.67
2016-10-14,8.58064731321261,99.76
2016-10-14,9.04270158646195,155.48
2016-10-27,0.5079676031626995,0.07
2016-10-27,4.018361336602763,0.07
2016-10-27,6.0137178415237935,0.18
2016-10-27,7.006323294001985,0.22
2016-10-27,8.011413259382266,4.96
2016-10-27,8.51167736857459,80.56
2016-10-27,9.016785519079441,146.67
2016-10-27,9.509572822803312,184.91
2016-10-27,10.00690147899059,230.5
2016-10-27,11.003820884897868,350.28
2016-10-27,12.010605465951686,503.71
2016-10-27,14.01165544445245,1199.88
2016-11-09,0.484189478800734,1.39
2016-11-09,1.9824158343148206,1.26
2016-11-09,3.9812326115368477,0.96
2016-11-09,5.9802258014626295,1.0
2016-11-09,7.982654450341865,1.05
2016-11-09,8.98059766176688,2.46
2016-11-09,9.48724695909027,202.74
2016-11-09,9.978743798787546,215.46
2016-11-09,10.98911730764982,338.28
2016-11-09,12.000772782816925,634.18
2016-11-09,13.999032959263621,1095.1
2016-11-23,0.5355895005013157,0.13
2016-11-23,2.0296069344272802,0.14
2016-11-23,4.043245267990052,0.06
2016-11-23,10.035563327518291,10.7
2016-11-23,11.045243082376013,481.0
2016-11-23,12.033420881907958,640.13
2016-11-23,13.031752949080749,792.23
2016-11-23,14.036294131589719,1416.92
2016-12-06,0.4769788921906632,0.44
2016-12-06,1.985855442387555,0.71
2016-12-06,4.010529937155508,0.69
2016-12-06,5.9886709075613425,0.54
2016-12-06,7.9859198551185,0.88
2016-12-06,10.004834254168115,0.48
2016-12-06,12.005331540845559,80.01
2016-12-06,12.991190312108984,695.7
2016-12-06,13.99239579891797,1349.96
2016-12-06,15.0031715899284,1977.73
2016-12-12,8.025559637185028,0.33
2016-12-12,12.040339554689146,17.91
2016-12-12,13.011272247634167,590.95
2016-12-12,14.037585103157598,1031.0
